nom_commune,latitude,longitude,headcount
Lauzerville,43.5583468414,1.56690064606,1564.0
Lavaur,43.6895628711,1.79437213708,11166.0
Lavelanet,42.9336867312,1.84586953504,6599.0
Lavernose-Lacasse,43.3913118725,1.24635316993,2870.0
Lescure-d'Albigeois,43.9656164383,2.18230929953,4559.0
Lespignan,43.2737109255,3.16982256617,3226.0
Lespinasse,43.7158013757,1.38334888533,2645.0
Lherm,43.4293377218,1.22334236594,3610.0
Lignan-sur-Orb,43.382486634,3.17270457784,3005.0
Limoux,43.0499293279,2.23958811407,10816.0
Lisle-sur-Tarn,43.8974980421,1.78200143861,4497.0
Lombez,43.4666661613,0.901915416413,2121.0
Longages,43.3574229585,1.21425495972,2922.0
Loubière,44.3909930617,2.65068486955,1531.0
Luc-la-Primaube,44.3056658484,2.5364516694,6018.0
Léguevin,43.5919597795,1.2290264629,8930.0
Lévignac,43.6593918197,1.20389227339,2023.0
Lézat-sur-Lèze,43.280210332,1.34476803133,2402.0
Lézignan-Corbières,43.2036730565,2.76215028732,11383.0
Magalas,43.4808688877,3.21744589266,3372.0
Maraussan,43.370567073,3.1537894615,4163.0
Marcillac-Vallon,44.4772361351,2.46487970585,1724.0
Marssac-sur-Tarn,43.9102726323,2.03641141101,3074.0
Martres-Tolosane,43.2020024621,1.00117227256,2294.0
Maureilhan,43.3515394407,3.10170846517,2027.0
Mauvezin,43.7315774069,0.866244798675,2110.0
Mazamet,43.4578780341,2.3885346913,10587.0
Mazères,43.2305454388,1.67905538155,3910.0
Merville,43.722156746,1.29598401915,5054.0
Millas,42.6989825431,2.68991104341,4124.0
Millau,44.0976252203,3.11705384129,23123.0
Miremont,43.3768947053,1.41723287336,2308.0
Mirepoix,43.1093995072,1.86916991814,3309.0
Monastère,44.331592843,2.5872623881,2217.0
Monclar-de-Quercy,43.9880590722,1.58236305942,1932.0
Mondonville,43.6630816074,1.28127988411,4619.0
Mons,43.6112261836,1.57399371785,1800.0
Montady,43.3285047609,3.11398724899,4095.0
Montaigut-sur-Save,43.6803943619,1.2345663902,1631.0
Montastruc-la-Conseillère,43.7221234765,1.58906433836,3344.0
Montauban,44.0222594578,1.36408636501,59630.0
Montberon,43.7203107344,1.48894998415,2887.0
Montbeton,44.0135610101,1.2703654947,3841.0
Montech,43.9524124123,1.23764675579,6193.0
Montesquieu-Volvestre,43.192539602,1.21785196007,3289.0
Montgiscard,43.4551909277,1.57052406322,2202.0
Montpezat-de-Quercy,44.2399240236,1.47367523661,1544.0
Montrabé,43.6424532193,1.5288063297,4023.0
Montredon-Labessonnié,43.7243034141,2.32124891411,2111.0
Montrozier,44.394981764,2.72127812252,1562.0
Montréal,43.2000530731,2.14809473682,2110.0
Moussan,43.2305950634,2.95635636294,1869.0
Muret,43.4491077783,1.30784679414,25565.0
Murviel-lès-Béziers,43.4576685107,3.13592247665,3028.0
Nailloux,43.3652413733,1.61316756794,3518.0
Narbonne,43.1652399898,3.02023868739,54369.0
Naucelle,44.1898575403,2.34366368782,2200.0
Nissan-lez-Enserune,43.2811833354,3.11227016,3979.0
Noé,43.3605188083,1.27051945218,2849.0
Nègrepelisse,44.0631437696,1.52813602608,5534.0
Olemps,44.338471851,2.54774198749,3391.0
Olonzac,43.2811329903,2.73729224863,1783.0
Onet-le-Château,44.3825530939,2.56000835023,12147.0
Orgueil,43.8991686927,1.39705978645,1632.0
Ouveillan,43.2931875374,2.96999154918,2309.0
Palaja,43.1671058484,2.38726861011,2268.0
Palme,42.9660377916,2.99265326968,1646.0
Pamiers,43.1234860673,1.61523399037,16828.0
Payrin-Augmontel,43.538512955,2.34476965371,2268.0
Pechbonnieu,43.7112584886,1.45879137829,4337.0
Pennautier,43.2513741105,2.31315453913,2524.0
Pezens,43.2548914724,2.24772297673,1538.0
Pibrac,43.6274385363,1.26139475262,8597.0
Pins-Justaret,43.4824421099,1.3908759872,4591.0
Pinsaguel,43.503057751,1.39393626333,2790.0
Plaisance-du-Touch,43.557591642,1.28585811821,17466.0
Pompertuzat,43.4942932481,1.52109130847,2173.0
Pont-de-Larn,43.5308469607,2.40980470346,2998.0
Pont-de-Salars,44.277717255,2.70931526263,1698.0
Port-la-Nouvelle,43.0210644931,3.03976442192,5719.0
Portet-sur-Garonne,43.529395272,1.40251955724,9639.0
Prades,42.6145021996,2.43074849066,6161.0
Puisserguier,43.3772339365,3.04590546447,2894.0
Puygouzon,43.8884573228,2.16955643928,3018.0
Puylaurens,43.5824524921,2.01685800368,3347.0
Péchabou,43.5015132384,1.51044990153,2078.0
Pézilla-la-Rivière,42.7052766962,2.76420559832,3439.0
Quarante,43.3507961482,2.980712669,1704.0
